Date,High,Low,Open,Close,Volume
2017-05-25,995.78,977.82,979,991.86,1952802
2017-05-24,978.115,971.6299,975.26,977.61,1137638
2017-05-23,974.51,964.5,969.96,970.55,1544900
2017-05-22,964.82,956.56,957,964.07,1384904
2017-05-19,959.56,952,952.82,954.65,1359893
2017-05-18,954.18,941.27,943.2,950.5,1799512
2017-05-17,960.99,940.06,959.7,942.17,2446966
2017-05-16,965.8955,960.35,963.55,964.61,1099818
2017-05-15,962.7,952.82,955.29,959.22,1332065
2017-05-12,957.98,952.06,957.85,955.14,1214614
2017-05-11,957.99,948.61,951.29,955.89,1031011
2017-05-10,956.71,949.84,956.22,954.84,1145842
2017-05-09,962.2,954.4,961.33,956.71,1686770
2017-05-08,960.99,947.395,947.45,958.69,1875308
2017-05-05,958.4395,948.0986,956.72,950.28,1614381
2017-05-04,959.14,947.37,950.29,954.72,1937977
2017-05-03,950.2,935.21,936.05,948.45,1820150
2017-05-02,942.985,931,933.27,937.09,1749432
2017-05-01,935.82,920.8,924.15,932.82,2325611
2017-04-28,935.9,923.22,929,924.52,3804599
2017-04-27,893.3774,887.18,890,891.44,2306341
2017-04-26,892.99,885.15,891.39,889.14,1319855
2017-04-25,892.25,879.2801,882.26,888.84,2031687
2017-04-24,879.96,866.11,868.44,878.93,1691946
2017-04-21,862.44,857.73,860.62,858.95,1171407
2017-04-20,863.93,857.5,859.74,860.08,1187137
2017-04-19,860.2,853.5275,857.385,856.51,1078820
2017-04-18,857.39,851.25,852.54,853.99,935216
2017-04-17,855.64,841.03,841.38,855.13,1046754
2017-04-13,843.73,837.8503,841.04,840.18,1071248
2017-04-12,843.72,837.59,838.46,841.46,1135641
2017-04-11,844.63,834.6,841.7,839.88,973875
2017-04-10,846.7372,840.79,841.54,841.7,1045369
2017-04-07,845.88,837.3,845,842.1,1110404
2017-04-06,853.59,844,849.5,845.095,1530251
2017-04-05,860.59,847.52,854.71,848.91,1851632
2017-04-04,853,847.505,848,852.57,1346500
2017-04-03,859,847.5298,848.75,856.75,1968062
2017-03-31,849.56,845.2445,846.83,847.8,1440202
2017-03-30,852,846.77,851.98,849.48,948489
2017-03-29,851.585,841.38,842.75,849.87,1456135
2017-03-28,845.4,832.265,839.69,840.63,1517740
2017-03-27,841.38,824.3,828.09,838.51,1934575
2017-03-24,844,829.1,842,835.14,2102352
2017-03-23,841.69,833,841.39,839.65,3285469
2017-03-22,855.35,847,849.48,849.8,1361659
2017-03-21,873.47,847.687,870.06,850.14,2531086
2017-03-20,870.34,864.665,869.48,867.91,1528664
2017-03-17,874.42,868.37,873.68,872.37,1852574
2017-03-16,872.71,867.52,870.53,870,1103990
2017-03-15,869.88,861.295,867.94,868.39,1331984
2017-03-14,867.58,860.13,863.75,865.91,1059047
2017-03-13,867.13,860.82,860.83,864.58,1165561
2017-03-10,864.229,857.61,862.7,861.405,1336523
2017-03-09,860.71,852.67,853.69,857.84,1341977
2017-03-08,856.93,851.25,853.12,853.64,1029444
2017-03-07,853.33,845.52,847.26,851.15,1038337
2017-03-06,848.94,841.17,846.86,847.27,1046709
2017-03-03,850.82,844.705,848.94,849.08,1005385
2017-03-02,856.49,848.72,856.31,849.85,1249065
2017-03-01,858,849.02,851.38,856.75,1817444
2017-02-28,848.83,841.4422,847.35,844.93,1381453
2017-02-27,850.67,843.01,844.95,849.67,1009332
2017-02-24,848.36,842.9601,847.65,847.81,1345689
2017-02-23,852.62,842.5,851.08,851,1386019
2017-02-22,853.79,846.7101,848,851.36,1224597
2017-02-21,852.2,846.55,847.99,849.27,1260932
2017-02-17,846.94,839.78,841.31,846.55,1459501
2017-02-16,842.69,837.26,838.5,842.17,1004261
2017-02-15,841.7725,836.22,838.81,837.32,1356752
2017-02-14,842,835.83,839.77,840.03,1362210
2017-02-13,841.735,836.246,837.7,838.96,1295136
2017-02-10,837.15,830.51,832.95,834.85,1414105
2017-02-09,831.98,826.5,831.73,830.06,1193818
2017-02-08,834.25,825.11,830.53,829.88,1300977
2017-02-07,831.92,823.2926,825.5,829.23,1666384
2017-02-06,822.39,814.29,820.92,821.62,1350474
2017-02-03,826.13,819.35,823.13,820.13,1527736
2017-02-02,824.56,812.051,815,818.26,1686997
2017-02-01,824,812.25,824,815.24,2246841
2017-01-31,823.07,813.4,819.5,820.19,2017713
2017-01-30,837.23,821.03,837.06,823.83,3514929
2017-01-27,867,841.9,859,845.03,3751309
2017-01-26,861,850.5201,859.05,856.98,3452599
2017-01-25,858.7936,849.74,853.55,858.45,1657818
2017-01-24,851.52,842.28,846.98,849.53,1686373
2017-01-23,845.5428,828.7,831.61,844.43,2456979
2017-01-20,829.24,824.6,829.09,828.17,1304421
2017-01-19,832.9999,823.96,829,824.37,1068876
2017-01-18,829.81,824.08,829.8,829.02,1026256
2017-01-17,830.18,823.2001,830,827.46,1440724
2017-01-13,834.65,829.52,831,830.94,1289823
2017-01-12,830.38,821.01,828.38,829.53,1349799
2017-01-11,829.9,821.47,826.62,829.86,1323813
2017-01-10,829.41,823.14,827.07,826.01,1196641
2017-01-09,830.43,821.62,826.37,827.18,1408698
2017-01-06,828.96,811.5,814.99,825.21,2014451
2017-01-05,813.74,805.92,807.5,813.02,1339307
2017-01-04,813.43,804.11,809.89,807.77,1514808
2017-01-03,811.435,796.89,800.62,808.01,1958783
2016-12-30,803.285,789.62,803.21,792.45,1735522
2016-12-29,805.75,798.144,802.33,802.88,1057004
2016-12-28,813.33,802.44,813.33,804.57,1202240
2016-12-27,816,805.8,808.68,809.93,974738
2016-12-23,810.9696,805.11,808.01,807.8,764767
2016-12-22,811.07,806.03,809.1,809.68,1132047
2016-12-21,815.72,805.1,815.72,812.2,1457480
2016-12-20,816.49,811,813.37,815.2,1270529
2016-12-19,816.22,804.5,809.28,812.5,1263416
2016-12-16,819.2,808.12,818.31,809.84,2597948
2016-12-15,823,812,817.36,815.65,1768545
2016-12-14,824.26,812.78,815.92,817.89,1797612
2016-12-13,824.3,811.94,812.39,815.34,2104198
2016-12-12,811.35,804.5311,804.82,807.9,1627711
2016-12-09,809.95,798.05,799.3,809.45,1900034
2016-12-08,799,787.905,792.95,795.17,1611923
2016-12-07,792,773.53,779.95,791.47,2026403
2016-12-06,785.28,773.32,780.19,776.18,1733244
2016-12-05,780,766.9686,770,778.22,1685519
2016-12-02,770.5,759,761.9,764.46,1696488
2016-12-01,778.6,753.36,778.55,764.33,2863993
2016-11-30,791.51,773.145,789.1,775.88,2272782
2016-11-29,796.44,785.34,788.38,789.44,1560963
2016-11-28,799.74,778.1,778.35,785.79,2569319
2016-11-25,782.9,778.19,782.61,780.23,613549
2016-11-23,789.52,772.65,789.52,779,1311228
2016-11-22,793.77,783.74,788.99,785,1391312
2016-11-21,786.55,776.3,778.1,784.8,1628530
2016-11-18,791.29,775.35,787.17,775.97,1800135
2016-11-17,788.9,779.85,782.5,786.16,1531650
2016-11-16,783.5,766.33,770.42,779.98,1796559
2016-11-15,780.2376,765.22,765.47,775.16,2940057
2016-11-14,771.78,743.59,771.76,753.22,3681471
2016-11-11,777.29,765.54,776.81,771.75,3587879
2016-11-10,810.06,768.23,810,780.29,5902116
2016-11-09,811.71,792.035,801.83,805.59,3095105
2016-11-08,816.04,799.62,802.03,811.98,1759885
2016-11-07,805,792.9,794.95,802.03,1986464
2016-11-04,788.48,771.0043,771.3,781.1,1967620
2016-11-03,790,778.63,784.5,782.19,2173340
2016-11-02,806.76,785,806.76,788.42,2284886
2016-11-01,813.96,798.26,810.87,805.48,2354652
2016-10-31,822.63,808,822.43,809.9,2238967
2016-10-28,839,817,829.94,819.56,4352704
2016-10-27,826.58,814.61,823.01,817.35,2939601
2016-10-26,827.71,816.35,827.12,822.1,1791756
2016-10-25,838.5,825.3005,838.5,828.55,1887068
2016-10-24,837.94,829.04,830.09,835.74,1444851
2016-10-21,824.29,818.31,820,824.06,1612418
2016-10-20,828.465,820.55,827.56,821.63,1385811
2016-10-19,829.81,823.205,824.52,827.09,1497429
2016-10-18,828.81,813.33,814.21,821.49,2287485
2016-10-17,813.49,803.83,805.99,806.84,1055806
2016-10-14,810.09,802.32,807.45,804.6,1106895
2016-10-13,806.56,798.62,806.07,804.08,1368311
2016-10-12,814.5,808.5545,811.96,811.77,905703
2016-10-11,819.86,807.37,814.17,809.57,1719835
2016-10-10,817.38,802.24,803.93,814.17,1489003
2016-10-07,805.94,796.82,805.93,800.71,1163810
2016-10-06,806.945,800.51,804.08,803.08,1098158
2016-10-05,808.5,800.71,806,801.23,1209183
2016-10-04,806.5,799.67,805,802.79,1257681
2016-10-03,803.54,796.23,802.55,800.38,1487130
2016-09-30,808.09,801.5,803.6,804.06,1628896
2016-09-29,813.91,800.855,807.23,802.64,1348241
2016-09-28,810.25,802.7803,804.08,810.06,1469220
2016-09-27,813.49,801.83,801.83,810.73,1362135
2016-09-26,810.08,800.45,809.82,802.65,1431779
2016-09-23,817,812.73,815.14,814.96,1411216
2016-09-22,819.06,807.71,810,815.95,1757641
2016-09-21,805.91,796.03,801.26,805.03,1346610
2016-09-20,802.75,798.26,800,799.78,1049912
2016-09-19,803.99,793.56,801.11,795.39,1146770
2016-09-16,799.02,793.62,799.02,797.97,2129528
2016-09-15,803.645,788.66,790.01,801.23,1563899
2016-09-14,796.33,787.53,787.53,790.46,1313008
2016-09-13,795.79,784.33,794.01,788.72,1808015
2016-09-12,800.17,783.5,784.52,798.82,1861467
2016-09-09,801.75,788.05,798.77,788.48,1882483
2016-09-08,808.42,801.0101,805.22,802.84,1176431
2016-09-07,810.6,803.72,807.93,807.99,1145552
2016-09-06,810.89,795.43,798.39,808.02,1989232
2016-09-02,797.1,793.26,795.27,796.87,1349109
2016-09-01,792.89,786.33,791.98,791.4,1303118
2016-08-31,791.57,787.2,789.6,789.85,1070140
2016-08-30,798,789.47,792.88,791.92,1190034
2016-08-29,798.52,790.32,793.05,795.82,772876
2016-08-26,799.4,789.4069,792.49,793.22,1248466
2016-08-25,794.72,787.23,792,791.3,1201902
2016-08-24,798.46,790.76,796.86,793.6,1283824
2016-08-23,801,795.99,800.48,796.59,916133
2016-08-22,799.3,794.33,798.51,796.95,852892
2016-08-19,801.23,796.88,799.79,799.65,1120336
2016-08-18,808,801.63,805.36,802.75,864660
2016-08-17,805.63,796.3,800,805.42,1064729
2016-08-16,804.26,797,803.5,801.19,1056936
2016-08-15,811.36,804.03,807.21,805.96,929916
2016-08-12,807.19,803.64,805.09,807.05,896802
2016-08-11,813.879,806,810.47,808.2,1281610
2016-08-10,810.879,806.49,807.05,808.49,916595
2016-08-09,813.33,804.06,804.49,807.48,1607256
2016-08-08,807.6,801.69,806,805.23,1221422
2016-08-05,807.22,797.81,800.11,806.93,1805900
2016-08-04,800.2,793.92,798.24,797.25,1075295
2016-08-03,799.54,793.02,796.47,798.92,1460553
2016-08-02,802.32,794.53,797.33,800.12,1995240
2016-08-01,807.49,785.04,786.67,800.94,3024763
2016-07-29,803.94,790,797.71,791.34,5066995
2016-07-28,768.97,759.09,768.84,765.84,3590254
2016-07-27,764.45,755.93,758.97,761.97,1595341
2016-07-26,759.26,752.7503,757.52,757.65,1186574
2016-07-25,759.8249,754.07,757.68,757.52,1073258
2016-07-22,759.45,752.655,757.32,759.28,1045450
2016-07-21,758.15,751.52,757,754.41,953043
2016-07-20,760.64,754.05,754.05,757.08,1124699
2016-07-19,756.59,748.489,749.87,753.41,1521192
2016-07-18,755.1369,736.51,737.91,753.2,1927867
2016-07-15,741,734.64,741,735.63,1614967
2016-07-14,736.14,730.59,733.94,735.8,1069376
2016-07-13,735.52,729.02,735.52,729.48,1020847
2016-07-12,735.6,727.5,731.92,732.51,1328656
2016-07-11,728.9289,718.865,719.42,727.2,1432923
2016-07-08,717.9,708.11,710.56,717.78,1492655
2016-07-07,710.17,700.67,710.11,707.26,1057750
2016-07-06,713,699,699.84,708.97,1444163
2016-07-05,708.12,699.13,705.01,704.89,1421850
2016-07-01,712.53,703.73,705.1,710.25,1548430
2016-06-30,703.77,694.9015,697.65,703.53,2110713
2016-06-29,699.5,692.6834,694.26,695.19,2154792
2016-06-28,692.7399,684.85,691.37,691.26,1910261
2016-06-27,683.325,672.66,682.49,681.14,2909539
2016-06-24,705,684.91,690.17,685.2,4767591
2016-06-23,714.88,700.25,710.55,714.87,2121556
2016-06-22,714.21,705.88,714.05,710.47,1452007
2016-06-21,715.38,704.66,710.05,708.88,1492642
2016-06-20,715.87,705.41,710.31,706.13,2282347
2016-06-17,721.39,701.12,721.39,704.25,4112597
2016-06-16,730.39,715.54,727.96,724.25,2246849
2016-06-15,737.15,731.31,734.92,732.19,1157759
2016-06-14,736,726.5,729.31,733.25,1327872
2016-06-13,739,729.82,729.82,731.88,1166558
2016-06-10,739.64,730.51,735.95,733.19,1452155
2016-06-09,743.93,736.5,737.07,742.52,958731
2016-06-08,743.81,735.765,739.5,742.93,1615601
2016-06-07,736.71,730.8,733.27,731.09,1214733
2016-06-06,738.5,728.29,738.5,730.06,1491771
2016-06-03,741.49,733.91,741.49,735.86,1230030
2016-06-02,747.3,737,746.1,744.27,1695221
2016-06-01,751.37,744.34,748.47,748.46,1039582
2016-05-31,753.48,745.57,748.76,748.85,2123407
2016-05-27,747.91,737.01,737.51,747.6,1739463
2016-05-26,741.1,733,736,736.93,1359797
2016-05-25,739.89,732.6,735,738.1,1615382
2016-05-24,734.2,719.645,719.85,733.03,1893201
2016-05-23,723.4999,716.94,719.98,717.25,1237493
2016-05-20,727.7,715.01,716.46,721.71,1730353
2016-05-19,720.5,710.305,718.3,715.31,1523254
2016-05-18,725.57,715.02,718.5,721.78,1622966
2016-05-17,735.85,718,731.06,720.19,1668702
2016-05-16,732.68,720,724.32,730.3,1124740
2016-05-13,731.29,723.51,726.62,724.83,1255038
2016-05-12,735.37,724.27,732,728.07,1354049
2016-05-11,740.8,727.9025,740.52,730.55,1489772
